FID,id,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,driftsbydel,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,puma_geoobjektid,toemningsmetode,toemningsansvarlig,toemningsansvarlig_navn,driftsansvarlig,toemningsfrekvens_lavsaeson,toemningsfrekvens_hoejsaeson,type,har_sensor,kommentar,oprettet,pantholder,wkb_geometry
affaldskurve_puma.1,1,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave,Gader og pladser,Gade med grønt,Gade i Kongens Enghave,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,fba9fab4-b187-430f-b9a5-edf493d1acde,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2018-08-27T13:59:17.06,TRUE,MULTIPOINT ((12.527441463593396 55.651700859258504))
affaldskurve_puma.2,2,IDrift,Bydækkende drift,,,,Amager Vest,Gader og pladser,Gade med grønt,Kvarteret ved Hollænderdybet,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,e6d37ae0-998e-4ec3-971e-015f3066cc2b,Maskinel,,,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Pizzakurv 2020,FALSE,,2022-06-24T05:55:56.401,FALSE,MULTIPOINT ((12.596081615244765 55.66513573263424))
affaldskurve_puma.3,3,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Vesterbrogade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,8e5fe554-d5f3-4081-b008-85e5dc32186e,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T07:53:15.503,FALSE,MULTIPOINT ((12.56631893572696 55.67538795993061))
affaldskurve_puma.4,4,IDrift,Bydækkende drift,,,,Valby,Småarealer,Øvrigt småareal,Sjælør Station,P-plads,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,0b4ee6ac-edb0-48f9-9e25-f4e41728f888,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:57:37.213,TRUE,MULTIPOINT ((12.527123370014904 55.651904099456104))
affaldskurve_puma.6,6,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Vesterbrogade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,97b991e3-2653-412a-a6fd-a75168da57b2,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-11-23T10:07:39.472,FALSE,MULTIPOINT ((12.566423507453456 55.67542573086733))
affaldskurve_puma.9,9,IDrift,Assistens Kirkegård,Assistens Kirkegård,3034,Assis_Assis_3034,Nørrebro,Gader og pladser,Grøn plads,Jagtvej,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,1576d9e3-b7c3-42e0-8f7a-2a9692127241,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,TRUE,,2020-06-16T12:41:08.337,FALSE,MULTIPOINT ((12.54888253204428 55.69400918542946))
affaldskurve_puma.10,10,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,ee31ae20-abbb-4608-9b12-516adf38ba87,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2021-02-22T12:17:03.863,FALSE,MULTIPOINT ((12.56803440932114 55.676119629313725))
affaldskurve_puma.13,13,IDrift,Bydækkende drift,,,,Valby,Småarealer,Øvrigt småareal,Sti langs Poul Reichardts Vej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,8d248828-3ad1-4af3-83a3-f82d52691e41,Manuel,,,,,,Københavnerkurven,FALSE,,2023-11-29T14:40:38.336,FALSE,MULTIPOINT ((12.507824806955478 55.65734521069611))
affaldskurve_puma.14,14,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,1b1db703-3c6a-4c91-a0c4-78e9421e6197,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T07:22:31.053,FALSE,MULTIPOINT ((12.568476543940507 55.67586071752408))
affaldskurve_puma.15,15,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,52ff1eef-f8c5-42c5-b832-6f2fe8a0e44f,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T07:27:36.328,FALSE,MULTIPOINT ((12.568733405930894 55.67566008597444))
