FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,fod_gns_10_18,taelle_dato,aar,link,ogc_fid,wkb_geometry
trafiktaelling_fodg.1,9,Farvergade,nordøst for Rådhuspladsen,6,3,Andre faste tællinger,2711,3200,3300,,,,,,,3200,,20230613,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/AXgHAMcoXB.pdf,1,POINT (12.572626735624134 55.6759965258084)
trafiktaelling_fodg.2,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,30883,36100,37400,,,,,,,36100,,20230608,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/jCSWUju30S.pdf,2,POINT (12.572966838603646 55.68308816561314)
trafiktaelling_fodg.3,17,Gothersgade,sydøst for Søtorvet,160 eller 175,3,Andre faste tællinger,1346,1600,1600,,,,,,,1600,126,20130910,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/m8BhwfsnnV.pdf,3,POINT (12.566545050457883 55.68641228608008)
trafiktaelling_fodg.4,33,Nørregade,sydøst for Nørre Voldgade,49,3,Andre faste tællinger,10078,11800,12200,,,,,,,11800,909,20140904,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/7yxzDtsv4A.pdf,4,POINT (12.570985593756626 55.68210595859012)
trafiktaelling_fodg.5,113,Frederiksberggade,nordøst for Rådhuspladsen,27 eller 38,3,Andre faste tællinger,26039,30500,31500,,,,,,,30500,,20230613,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/NdbaPdouXX.pdf,5,POINT (12.569758490421108 55.676649880742794)
trafiktaelling_fodg.6,129,Bryggebroen,cykel- og gangbro,,2,Søsnittet,4602,5400,5600,,,,,,,5400,,20240918,2024,https://kk.sites.itera.dk/apps/kk_trafik/pdf/52u6GbsNgC.pdf,6,POINT (12.56689481300105 55.661462968085374)
trafiktaelling_fodg.7,161,Åbuen,Cykel- og gangbro over Ågade,,3,Andre faste tællinger,1060,1200,1300,,,,,,,1200,,20230927,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Z0U1dX2cIx.pdf,7,POINT (12.545133225426333 55.68656014647924)
trafiktaelling_fodg.8,217,Vestergade,sydvest for Larsbjørnsstræde,16,100,Øvrige tællinger,4400,5100,5300,,,,,,,5100,,20131030,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/NG6B6tdiRT.pdf,8,POINT (12.569843702519954 55.677511428801424)
trafiktaelling_fodg.9,275,Hamletsgade,nordøst for Nannasgade,12B,3,Andre faste tællinger,1600,1900,1900,,,,,,,1900,,20090618,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/7Nx3p1K5eH.pdf,9,POINT (12.545677974815252 55.70175857800836)
trafiktaelling_fodg.10,298,Lyrskovgade,øst for Vester Fælledvej,36,3,Andre faste tællinger,1190,1400,1400,,,,,,,1400,,20171005,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/txN8nuv63P.pdf,10,POINT (12.540641623735196 55.668409980196834)
trafiktaelling_fodg.11,300,Løngangsstræde,nordøst for Vester Voldgade,37,3,Andre faste tællinger,2102,2500,2500,,,,,,,2500,,20230613,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/S0nHluj99m.pdf,11,POINT (12.57235226228712 55.67530894238091)
trafiktaelling_fodg.12,332,Studiestræde,øst for Vester Voldgade,40 eller 45,3,Andre faste tællinger,2498,2900,3000,,,,,,,2900,,20230613,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/5rTTbvXXcn.pdf,12,POINT (12.567597366293825 55.67792132848996)
trafiktaelling_fodg.13,377,Fiolstræde,syd for Nørre Voldgade,33,3,Andre faste tællinger,13086,15300,15800,,,,,,,15300,,20230608,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/7VtyKWAABj.pdf,13,POINT (12.571810503303972 55.682443140865516)
trafiktaelling_fodg.14,650,Hovedvagtsgade,vest for Kongens Nytorv,4,3,Andre faste tællinger,3007,3500,3600,,,,,,,3500,,20230622,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/AXKOtcTfDl.pdf,14,POINT (12.584174930487338 55.68079130011517)
trafiktaelling_fodg.15,754,Værnedamsvej,syd for Tullinsgade,6,100,Øvrige tællinger,6442,7500,7800,,,,,,,7500,627,20130502,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UYQJKy46cJ.pdf,15,POINT (12.549977083072132 55.67331991668572)
trafiktaelling_fodg.16,757,Møllegade,nordøst for Nørrebrogade,10,100,Øvrige tællinger,1081,1300,1300,,,,,,,1300,,20100421,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/eYhhVQafT2.pdf,16,POINT (12.5560816282452 55.690912847856985)
trafiktaelling_fodg.17,758,Peter Fabers Gade,nordøst for Nørrebrogade,20,100,Øvrige tællinger,1000,1200,1200,,,,,,,1200,,20100421,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kMP33cdgF9.pdf,17,POINT (12.555510462761378 55.69112195571864)
trafiktaelling_fodg.18,759,Ægirsgade,nordøst for Nørrebrogade,1,100,Øvrige tællinger,859,1000,1000,,,,,,,1000,,20090618,2009,https://kk.sites.itera.dk/apps/kk_trafik/pdf/7apPHMfcmo.pdf,18,POINT (12.544532301973398 55.697722351301174)
trafiktaelling_fodg.19,760,Baldersgade,nordøst for Nørrebrogade,4,100,Øvrige tællinger,366,400,400,,,,,,,400,,20090618,2009,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZhQWfLy8eB.pdf,19,POINT (12.54378911801929 55.69829422837233)
trafiktaelling_fodg.20,761,Bragesgade,nordøst for Nørrebrogade,4,100,Øvrige tællinger,1800,2100,2200,,,,,,,2100,,20100422,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/H7fg4754ZY.pdf,20,POINT (12.542795728820279 55.698814658788116)
trafiktaelling_fodg.21,762,Elmegade,nordøst for Nørrebrogade,8,100,Øvrige tællinger,3900,4600,4700,,,,,,,4600,,20100421,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/VhKR0VXbtA.pdf,21,POINT (12.558292418221775 55.689763035294874)
trafiktaelling_fodg.22,763,Sortedamdosseringen,nord for Dr. Louises Bro,3 C,100,Øvrige tællinger,900,1100,1100,,,,,,,1100,,20090616,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/qYQujMnNSR.pdf,22,POINT (12.563115019738303 55.68772591130676)
trafiktaelling_fodg.23,764,Baggesensgade,sydøst for Blågårdsgade,13,100,Øvrige tællinger,864,1000,1000,,,,,,,1000,,20100421,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/2ngrXpry0X.pdf,23,POINT (12.559521247464932 55.687042770715514)
trafiktaelling_fodg.24,765,Stengade,sydvest for Nørrebrogade,2,100,Øvrige tællinger,905,1100,1100,,,,,,,1100,,20100421,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/K6q4GhMyUL.pdf,24,POINT (12.556968935477165 55.68891811142525)
trafiktaelling_fodg.25,766,Guldbergsgade,sydøst for Ahornsgade,9,100,Øvrige tællinger,2681,3100,3200,,,,,,,3100,,20100421,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/0dAaTQQ2LB.pdf,25,POINT (12.55920676343057 55.691136059736735)
trafiktaelling_fodg.26,767,Møllegade,nordøst for Poppelgade,26,100,Øvrige tællinger,2800,3300,3400,,,,,,,3300,,20090428,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/oHhRw6jGzQ.pdf,26,POINT (12.558650695782454 55.692590064028245)
trafiktaelling_fodg.27,768,Prinsesse Charlottes Gade,sydøst for Jagtvej,42,100,Øvrige tællinger,1403,1600,1700,,,,,,,1600,,20100420,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/v9KAnDchqk.pdf,27,POINT (12.550232135835127 55.694703425762356)
trafiktaelling_fodg.28,769,Stefansgade,sydvest for Husumgade,35,100,Øvrige tællinger,1456,1700,1800,,,,,,,1700,,20100421,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/HKPTBkiwjM.pdf,28,POINT (12.543006097545225 55.694661407461496)
trafiktaelling_fodg.29,770,Esromgade,nord for Hillerødgade,30,100,Øvrige tællinger,300,400,400,,,,,,,400,,20100420,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ix4vjxkrBR.pdf,29,POINT (12.540184719694906 55.69751994349776)
trafiktaelling_fodg.30,771,Hillerødgade,vest for Nørrebrogade,14,100,Øvrige tællinger,856,1000,1000,,,,,,,1000,,20100420,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/wgSd0hCHLN.pdf,30,POINT (12.542341754917175 55.69745381258961)
trafiktaelling_fodg.31,774,Nannasgade,øst for Bragesgade,23,100,Øvrige tællinger,674,800,800,,,,,,,800,,20090611,2009,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Vh7eyaGm54.pdf,31,POINT (12.546325486638656 55.70091247988648)
trafiktaelling_fodg.32,775,Mimersgade,vest for Jagtvej,4,100,Øvrige tællinger,1200,1400,1500,,,,,,,1400,,20100422,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/EW9fCYZrtO.pdf,32,POINT (12.551928783743689 55.69789837906261)
trafiktaelling_fodg.33,776,Birkegade,nord for Elmegade,4,100,Øvrige tællinger,546,600,700,,,,,,,600,,20090617,2009,https://kk.sites.itera.dk/apps/kk_trafik/pdf/vqS40gtf3F.pdf,33,POINT (12.558288208738542 55.690072361808355)
