OMRKK;TID;INDHOLD
København i alt;2006;1524,8
København i alt;2007;1546,8
København i alt;2008;1572,2
København i alt;2009;1602,0
København i alt;2010;1668,0
København i alt;2011;1605,4
København i alt;2012;1586,9
København i alt;2013;1533,6
København i alt;2014;1545,6
København i alt;2015;1583,5
København i alt;2016;1631,2
København i alt;2017;1616,0
København i alt;2018;1576,7
København i alt;2019;1589,4
København i alt;2020;1528,1
København i alt;2021;1561,4
København i alt;2022;1351,8
København i alt;2023;1331,6
København i alt;2024;1320,6
Bydel - Indre By;2006;1447,8
Bydel - Indre By;2007;1584,7
Bydel - Indre By;2008;1546,9
Bydel - Indre By;2009;1521,0
Bydel - Indre By;2010;1526,4
Bydel - Indre By;2011;1491,8
Bydel - Indre By;2012;1507,5
Bydel - Indre By;2013;1455,8
Bydel - Indre By;2014;1453,9
Bydel - Indre By;2015;1476,7
Bydel - Indre By;2016;1698,9
Bydel - Indre By;2017;1526,7
Bydel - Indre By;2018;1542,3
Bydel - Indre By;2019;1474,5
Bydel - Indre By;2020;1439,2
Bydel - Indre By;2021;1500,6
Bydel - Indre By;2022;1311,3
Bydel - Indre By;2023;1205,6
Bydel - Indre By;2024;1419,4
Bydel - Østerbro;2006;1608,5
Bydel - Østerbro;2007;1546,7
Bydel - Østerbro;2008;1674,6
Bydel - Østerbro;2009;1677,7
Bydel - Østerbro;2010;1671,5
Bydel - Østerbro;2011;1527,3
Bydel - Østerbro;2012;1588,9
Bydel - Østerbro;2013;1608,0
Bydel - Østerbro;2014;1547,6
Bydel - Østerbro;2015;1595,7
Bydel - Østerbro;2016;1690,6
Bydel - Østerbro;2017;1622,3
Bydel - Østerbro;2018;1632,1
Bydel - Østerbro;2019;1703,2
Bydel - Østerbro;2020;1667,3
Bydel - Østerbro;2021;1625,9
Bydel - Østerbro;2022;1411,1
Bydel - Østerbro;2023;1433,0
Bydel - Østerbro;2024;1390,9
Bydel - Nørrebro;2006;1440,0
Bydel - Nørrebro;2007;1468,7
Bydel - Nørrebro;2008;1481,4
Bydel - Nørrebro;2009;1532,6
Bydel - Nørrebro;2010;1570,1
Bydel - Nørrebro;2011;1477,7
Bydel - Nørrebro;2012;1420,5
Bydel - Nørrebro;2013;1380,6
Bydel - Nørrebro;2014;1435,1
Bydel - Nørrebro;2015;1547,9
Bydel - Nørrebro;2016;1570,5
Bydel - Nørrebro;2017;1632,2
Bydel - Nørrebro;2018;1516,4
Bydel - Nørrebro;2019;1516,8
Bydel - Nørrebro;2020;1526,2
Bydel - Nørrebro;2021;1599,7
Bydel - Nørrebro;2022;1344,2
Bydel - Nørrebro;2023;1358,0
Bydel - Nørrebro;2024;1304,9
Bydel - Vesterbro/Kongens Enghave;2006;1497,8
Bydel - Vesterbro/Kongens Enghave;2007;1549,2
Bydel - Vesterbro/Kongens Enghave;2008;1529,1
Bydel - Vesterbro/Kongens Enghave;2009;1643,3
Bydel - Vesterbro/Kongens Enghave;2010;1720,8
Bydel - Vesterbro/Kongens Enghave;2011;1636,1
Bydel - Vesterbro/Kongens Enghave;2012;1718,4
Bydel - Vesterbro/Kongens Enghave;2013;1575,8
Bydel - Vesterbro/Kongens Enghave;2014;1620,3
Bydel - Vesterbro/Kongens Enghave;2015;1659,5
Bydel - Vesterbro/Kongens Enghave;2016;1672,3
Bydel - Vesterbro/Kongens Enghave;2017;1627,4
Bydel - Vesterbro/Kongens Enghave;2018;1637,4
Bydel - Vesterbro/Kongens Enghave;2019;1717,4
Bydel - Vesterbro/Kongens Enghave;2020;1578,3
Bydel - Vesterbro/Kongens Enghave;2021;1649,2
Bydel - Vesterbro/Kongens Enghave;2022;1486,6
Bydel - Vesterbro/Kongens Enghave;2023;1420,5
Bydel - Vesterbro/Kongens Enghave;2024;1426,3
Bydel - Valby;2006;1662,5
Bydel - Valby;2007;1556,6
Bydel - Valby;2008;1776,5
Bydel - Valby;2009;1621,4
Bydel - Valby;2010;1818,1
Bydel - Valby;2011;1745,5
Bydel - Valby;2012;1683,8
Bydel - Valby;2013;1676,9
Bydel - Valby;2014;1584,0
Bydel - Valby;2015;1706,2
Bydel - Valby;2016;1677,5
Bydel - Valby;2017;1681,5
Bydel - Valby;2018;1598,2
Bydel - Valby;2019;1675,6
Bydel - Valby;2020;1703,3
Bydel - Valby;2021;1652,4
Bydel - Valby;2022;1433,9
Bydel - Valby;2023;1357,3
Bydel - Valby;2024;1293,9
Bydel - Vanløse;2006;1570,5
Bydel - Vanløse;2007;1602,3
Bydel - Vanløse;2008;1472,3
Bydel - Vanløse;2009;1661,2
Bydel - Vanløse;2010;1613,9
Bydel - Vanløse;2011;1754,6
Bydel - Vanløse;2012;1570,0
Bydel - Vanløse;2013;1470,1
Bydel - Vanløse;2014;1571,4
Bydel - Vanløse;2015;1626,4
Bydel - Vanløse;2016;1565,8
Bydel - Vanløse;2017;1527,8
Bydel - Vanløse;2018;1470,5
Bydel - Vanløse;2019;1482,6
Bydel - Vanløse;2020;1408,7
Bydel - Vanløse;2021;1517,3
Bydel - Vanløse;2022;1305,0
Bydel - Vanløse;2023;1313,4
Bydel - Vanløse;2024;1313,3
Bydel - Brønshøj-Husum;2006;1947,1
Bydel - Brønshøj-Husum;2007;1966,2
Bydel - Brønshøj-Husum;2008;1865,2
Bydel - Brønshøj-Husum;2009;2102,4
Bydel - Brønshøj-Husum;2010;2026,8
Bydel - Brønshøj-Husum;2011;2102,5
Bydel - Brønshøj-Husum;2012;1970,0
Bydel - Brønshøj-Husum;2013;1916,5
Bydel - Brønshøj-Husum;2014;1997,0
Bydel - Brønshøj-Husum;2015;1824,3
Bydel - Brønshøj-Husum;2016;1967,5
Bydel - Brønshøj-Husum;2017;1872,2
Bydel - Brønshøj-Husum;2018;1732,8
Bydel - Brønshøj-Husum;2019;1737,5
Bydel - Brønshøj-Husum;2020;1698,6
Bydel - Brønshøj-Husum;2021;1709,9
Bydel - Brønshøj-Husum;2022;1516,8
Bydel - Brønshøj-Husum;2023;1519,7
Bydel - Brønshøj-Husum;2024;1456,9
Bydel - Bispebjerg;2006;1313,8
Bydel - Bispebjerg;2007;1379,2
Bydel - Bispebjerg;2008;1436,5
Bydel - Bispebjerg;2009;1412,0
Bydel - Bispebjerg;2010;1539,1
Bydel - Bispebjerg;2011;1543,8
Bydel - Bispebjerg;2012;1587,7
Bydel - Bispebjerg;2013;1448,6
Bydel - Bispebjerg;2014;1460,7
Bydel - Bispebjerg;2015;1463,2
Bydel - Bispebjerg;2016;1402,5
Bydel - Bispebjerg;2017;1451,8
Bydel - Bispebjerg;2018;1420,9
Bydel - Bispebjerg;2019;1364,1
Bydel - Bispebjerg;2020;1363,7
Bydel - Bispebjerg;2021;1371,5
Bydel - Bispebjerg;2022;1129,2
Bydel - Bispebjerg;2023;1185,6
Bydel - Bispebjerg;2024;1181,5
Bydel - Amager Øst;2006;1430,3
Bydel - Amager Øst;2007;1472,2
Bydel - Amager Øst;2008;1503,6
Bydel - Amager Øst;2009;1412,0
Bydel - Amager Øst;2010;1612,8
Bydel - Amager Øst;2011;1447,4
Bydel - Amager Øst;2012;1523,8
Bydel - Amager Øst;2013;1310,6
Bydel - Amager Øst;2014;1394,9
Bydel - Amager Øst;2015;1498,0
Bydel - Amager Øst;2016;1520,5
Bydel - Amager Øst;2017;1535,0
Bydel - Amager Øst;2018;1581,0
Bydel - Amager Øst;2019;1535,7
Bydel - Amager Øst;2020;1462,5
Bydel - Amager Øst;2021;1474,9
Bydel - Amager Øst;2022;1357,2
Bydel - Amager Øst;2023;1249,8
Bydel - Amager Øst;2024;1264,9
Bydel - Amager Vest;2006;1594,1
Bydel - Amager Vest;2007;1636,4
