OMRKK;TID;INDHOLD
København i alt;1974K1;576030
København i alt;1975K1;562405
København i alt;1976K1;545350
København i alt;1977K1;529154
København i alt;1978K1;515594
København i alt;1979K1;505982
København i alt;1980K1;498850
København i alt;1981K1;493771
København i alt;1982K1;490587
København i alt;1983K1;486593
København i alt;1984K1;482937
København i alt;1985K1;478615
København i alt;1986K1;473000
København i alt;1987K1;469706
København i alt;1988K1;468704
København i alt;1989K1;467850
København i alt;1990K1;466723
København i alt;1991K1;464773
København i alt;1992K1;464566
København i alt;1993K1;466129
København i alt;1994K1;467253
København i alt;1995K1;471300
København i alt;1996K1;476751
København i alt;1997K1;483658
København i alt;1998K1;487969
København i alt;1999K1;491082
København i alt;2000K1;495699
København i alt;2001K1;499148
København i alt;2002K1;500523
København i alt;2002K2;501093
København i alt;2002K3;499714
København i alt;2002K4;501294
København i alt;2003K1;501306
København i alt;2003K2;501850
København i alt;2003K3;500709
København i alt;2003K4;502209
København i alt;2004K1;502199
København i alt;2004K2;502134
København i alt;2004K3;501097
København i alt;2004K4;502672
København i alt;2005K1;502464
København i alt;2005K2;502913
København i alt;2005K3;500208
København i alt;2005K4;501847
København i alt;2006K1;501189
København i alt;2006K2;501693
København i alt;2006K3;500540
København i alt;2006K4;503702
København i alt;2007K1;503752
København i alt;2007K2;505502
København i alt;2007K3;505151
København i alt;2007K4;508984
København i alt;2008K1;509908
København i alt;2008K2;511833
København i alt;2008K3;511671
København i alt;2008K4;516899
København i alt;2009K1;518544
København i alt;2009K2;520698
København i alt;2009K3;521619
København i alt;2009K4;526911
København i alt;2010K1;528265
København i alt;2010K2;530974
København i alt;2010K3;531266
København i alt;2010K4;536743
København i alt;2011K1;538642
København i alt;2011K2;541605
København i alt;2011K3;542038
København i alt;2011K4;548862
København i alt;2012K1;549223
København i alt;2012K2;551732
København i alt;2012K3;551940
København i alt;2012K4;558125
København i alt;2013K1;559731
København i alt;2013K2;562410
København i alt;2013K3;562494
København i alt;2013K4;569216
København i alt;2014K1;570171
København i alt;2014K2;572450
København i alt;2014K3;572288
København i alt;2014K4;579631
København i alt;2015K1;580292
København i alt;2015K2;583527
København i alt;2015K3;583508
København i alt;2015K4;589703
København i alt;2016K1;591479
København i alt;2016K2;594239
København i alt;2016K3;594539
København i alt;2016K4;601472
