OMRKK;ALDER;TID;INDHOLD
København i alt;0-4 år;1977;24486
København i alt;0-4 år;1978;22889
København i alt;0-4 år;1979;21806
København i alt;0-4 år;1980;21007
København i alt;0-4 år;1981;20325
København i alt;0-4 år;1982;20053
København i alt;0-4 år;1983;19882
København i alt;0-4 år;1984;19527
København i alt;0-4 år;1985;19115
København i alt;0-4 år;1986;18716
København i alt;0-4 år;1987;18745
København i alt;0-4 år;1988;19397
København i alt;0-4 år;1989;20273
København i alt;0-4 år;1990;21528
København i alt;0-4 år;1991;22350
København i alt;0-4 år;1992;23580
København i alt;0-4 år;1993;24952
København i alt;0-4 år;1994;25865
København i alt;0-4 år;1995;26840
København i alt;0-4 år;1996;28010
København i alt;0-4 år;1997;29009
København i alt;0-4 år;1998;29411
København i alt;0-4 år;1999;29825
København i alt;0-4 år;2000;30338
København i alt;0-4 år;2001;30970
København i alt;0-4 år;2002;31355
København i alt;0-4 år;2003;31780
København i alt;0-4 år;2004;32206
København i alt;0-4 år;2005;31914
København i alt;0-4 år;2006;31412
København i alt;0-4 år;2007;31551
København i alt;0-4 år;2008;32187
København i alt;0-4 år;2009;33299
København i alt;0-4 år;2010;34911
København i alt;0-4 år;2011;36435
København i alt;0-4 år;2012;37441
København i alt;0-4 år;2013;38117
København i alt;0-4 år;2014;38078
København i alt;0-4 år;2015;38223
København i alt;0-4 år;2016;37947
København i alt;0-4 år;2017;38754
København i alt;0-4 år;2018;39327
København i alt;0-4 år;2019;39945
København i alt;0-4 år;2020;40470
København i alt;0-4 år;2021;39915
København i alt;0-4 år;2022;39153
København i alt;0-4 år;2023;38297
København i alt;0-4 år;2024;37728
København i alt;0-4 år;2025;37491
Bydel - Indre By;0-4 år;1977;2226
Bydel - Indre By;0-4 år;1978;2041
Bydel - Indre By;0-4 år;1979;1895
Bydel - Indre By;0-4 år;1980;1803
Bydel - Indre By;0-4 år;1981;1731
Bydel - Indre By;0-4 år;1982;1715
Bydel - Indre By;0-4 år;1983;1635
Bydel - Indre By;0-4 år;1984;1589
Bydel - Indre By;0-4 år;1985;1568
Bydel - Indre By;0-4 år;1986;1549
Bydel - Indre By;0-4 år;1987;1528
Bydel - Indre By;0-4 år;1988;1523
Bydel - Indre By;0-4 år;1989;1613
Bydel - Indre By;0-4 år;1990;1703
Bydel - Indre By;0-4 år;1991;1734
Bydel - Indre By;0-4 år;1992;1780
Bydel - Indre By;0-4 år;1993;1841
Bydel - Indre By;0-4 år;1994;1881
Bydel - Indre By;0-4 år;1995;1949
Bydel - Indre By;0-4 år;1996;2008
Bydel - Indre By;0-4 år;1997;2155
Bydel - Indre By;0-4 år;1998;2173
Bydel - Indre By;0-4 år;1999;2273
Bydel - Indre By;0-4 år;2000;2379
Bydel - Indre By;0-4 år;2001;2459
Bydel - Indre By;0-4 år;2002;2495
Bydel - Indre By;0-4 år;2003;2550
Bydel - Indre By;0-4 år;2004;2561
Bydel - Indre By;0-4 år;2005;2568
Bydel - Indre By;0-4 år;2006;2549
Bydel - Indre By;0-4 år;2007;2577
Bydel - Indre By;0-4 år;2008;2624
Bydel - Indre By;0-4 år;2009;2647
Bydel - Indre By;0-4 år;2010;2709
Bydel - Indre By;0-4 år;2011;2714
Bydel - Indre By;0-4 år;2012;2738
Bydel - Indre By;0-4 år;2013;2788
Bydel - Indre By;0-4 år;2014;2767
Bydel - Indre By;0-4 år;2015;2756
Bydel - Indre By;0-4 år;2016;2755
Bydel - Indre By;0-4 år;2017;2833
Bydel - Indre By;0-4 år;2018;2789
Bydel - Indre By;0-4 år;2019;2806
Bydel - Indre By;0-4 år;2020;2770
Bydel - Indre By;0-4 år;2021;2662
