OMRKK;TID;INDHOLD
København i alt;1998K1;315613
København i alt;1999K1;316316
København i alt;2000K1;316202
København i alt;2001K1;316780
København i alt;2002K1;316236
København i alt;2002K2;316120
København i alt;2002K3;314470
København i alt;2002K4;315922
København i alt;2003K1;315452
København i alt;2003K2;315605
København i alt;2003K3;314360
København i alt;2003K4;315865
København i alt;2004K1;315872
København i alt;2004K2;315658
København i alt;2004K3;314839
København i alt;2004K4;316641
København i alt;2005K1;316456
København i alt;2005K2;316546
København i alt;2005K3;314390
København i alt;2005K4;316403
København i alt;2006K1;315911
København i alt;2006K2;316026
København i alt;2006K3;314876
København i alt;2006K4;317343
København i alt;2007K1;316973
København i alt;2007K2;317858
København i alt;2007K3;317048
København i alt;2007K4;320143
København i alt;2008K1;320334
København i alt;2008K2;321321
København i alt;2008K3;320684
København i alt;2008K4;324728
København i alt;2009K1;325211
København i alt;2009K2;326247
København i alt;2009K3;326069
København i alt;2009K4;330154
København i alt;2010K1;330526
København i alt;2010K2;331905
København i alt;2010K3;331194
København i alt;2011K1;335993
København i alt;2011K2;337394
København i alt;2011K3;336511
København i alt;2011K4;341687
København i alt;2012K1;340951
København i alt;2012K2;342191
København i alt;2012K3;341226
København i alt;2012K4;346186
København i alt;2013K1;346474
København i alt;2013K2;347780
København i alt;2013K3;346545
København i alt;2013K4;351985
København i alt;2014K1;351957
København i alt;2014K2;353234
København i alt;2014K3;351936
København i alt;2014K4;357774
København i alt;2015K1;357049
København i alt;2015K2;358697
København i alt;2015K3;357683
København i alt;2015K4;363020
København i alt;2016K1;363655
København i alt;2016K2;365076
København i alt;2016K3;363649
København i alt;2016K4;369520
København i alt;2017K1;369273
København i alt;2017K2;371341
København i alt;2017K3;369479
København i alt;2017K4;374926
København i alt;2018K1;375487
København i alt;2018K2;377033
København i alt;2018K3;375652
København i alt;2018K4;381471
København i alt;2019K1;381241
København i alt;2019K2;383101
København i alt;2019K3;381798
København i alt;2019K4;387228
København i alt;2020K1;385885
København i alt;2020K2;386124
København i alt;2020K3;385165
København i alt;2020K4;389798
København i alt;2021K1;389751
København i alt;2021K2;390090
København i alt;2021K3;390219
København i alt;2021K4;395037
København i alt;2022K1;395554
København i alt;2022K2;397503
København i alt;2022K3;397212
København i alt;2022K4;401279
København i alt;2023K1;401446
København i alt;2023K2;403454
København i alt;2023K3;401699
København i alt;2023K4;406426
København i alt;2024K1;405247
København i alt;2024K2;406839
København i alt;2024K3;405046
København i alt;2024K4;410082
København i alt;2025K1;408870
Bydel - Indre By;1998K1;28879
Bydel - Indre By;1999K1;29255
Bydel - Indre By;2000K1;29015
Bydel - Indre By;2001K1;29004
Bydel - Indre By;2002K1;28996
Bydel - Indre By;2002K2;28979
Bydel - Indre By;2002K3;28827
Bydel - Indre By;2002K4;29027
Bydel - Indre By;2003K1;29039
Bydel - Indre By;2003K2;29028
Bydel - Indre By;2003K3;29028
Bydel - Indre By;2003K4;29222
Bydel - Indre By;2004K1;29130
Bydel - Indre By;2004K2;29048
Bydel - Indre By;2004K3;28928
Bydel - Indre By;2004K4;29097
Bydel - Indre By;2005K1;29136
Bydel - Indre By;2005K2;29111
Bydel - Indre By;2005K3;28907
Bydel - Indre By;2005K4;29218
Bydel - Indre By;2006K1;29134
Bydel - Indre By;2006K2;29269
Bydel - Indre By;2006K3;29169
Bydel - Indre By;2006K4;29413
Bydel - Indre By;2007K1;29435
Bydel - Indre By;2007K2;29502
Bydel - Indre By;2007K3;29280
Bydel - Indre By;2007K4;29543
Bydel - Indre By;2008K1;29438
Bydel - Indre By;2008K2;29591
Bydel - Indre By;2008K3;29598
Bydel - Indre By;2008K4;29906
Bydel - Indre By;2009K1;30001
Bydel - Indre By;2009K2;30246
Bydel - Indre By;2009K3;30141
Bydel - Indre By;2009K4;30605
Bydel - Indre By;2010K1;30644
Bydel - Indre By;2010K2;30848
Bydel - Indre By;2010K3;30715
Bydel - Indre By;2011K1;31088
Bydel - Indre By;2011K2;31338
Bydel - Indre By;2011K3;31178
Bydel - Indre By;2011K4;32033
Bydel - Indre By;2012K1;32073
Bydel - Indre By;2012K2;32158
Bydel - Indre By;2012K3;31869
Bydel - Indre By;2012K4;32503
Bydel - Indre By;2013K1;32312
Bydel - Indre By;2013K2;32562
Bydel - Indre By;2013K3;32256
Bydel - Indre By;2013K4;33011
Bydel - Indre By;2014K1;32969
Bydel - Indre By;2014K2;32999
Bydel - Indre By;2014K3;32637
Bydel - Indre By;2014K4;33235
Bydel - Indre By;2015K1;33024
Bydel - Indre By;2015K2;33499
Bydel - Indre By;2015K3;33460
Bydel - Indre By;2015K4;34177
Bydel - Indre By;2016K1;34211
Bydel - Indre By;2016K2;34513
Bydel - Indre By;2016K3;34042
Bydel - Indre By;2016K4;35207
Bydel - Indre By;2017K1;34964
Bydel - Indre By;2017K2;35294
Bydel - Indre By;2017K3;34810
Bydel - Indre By;2017K4;35511
Bydel - Indre By;2018K1;35417
Bydel - Indre By;2018K2;35651
Bydel - Indre By;2018K3;35193
Bydel - Indre By;2018K4;36131
Bydel - Indre By;2019K1;35963
Bydel - Indre By;2019K2;36426
Bydel - Indre By;2019K3;35871
Bydel - Indre By;2019K4;36426
Bydel - Indre By;2020K1;35625
Bydel - Indre By;2020K2;35717
Bydel - Indre By;2020K3;35481
Bydel - Indre By;2020K4;36101
Bydel - Indre By;2021K1;36077
Bydel - Indre By;2021K2;36039
Bydel - Indre By;2021K3;35923
Bydel - Indre By;2021K4;36235
Bydel - Indre By;2022K1;36156
Bydel - Indre By;2022K2;36513
Bydel - Indre By;2022K3;36160
Bydel - Indre By;2022K4;36675
Bydel - Indre By;2023K1;36320
Bydel - Indre By;2023K2;36657
Bydel - Indre By;2023K3;36168
Bydel - Indre By;2023K4;36854
Bydel - Indre By;2024K1;36450
Bydel - Indre By;2024K2;36954
Bydel - Indre By;2024K3;36520
Bydel - Indre By;2024K4;37212
Bydel - Indre By;2025K1;36810
Bydel - Østerbro;1998K1;43785
Bydel - Østerbro;1999K1;43725
Bydel - Østerbro;2000K1;43531
Bydel - Østerbro;2001K1;43262
Bydel - Østerbro;2002K1;43174
Bydel - Østerbro;2002K2;43277
Bydel - Østerbro;2002K3;43073
Bydel - Østerbro;2002K4;43379
Bydel - Østerbro;2003K1;43334
Bydel - Østerbro;2003K2;43374
Bydel - Østerbro;2003K3;43187
Bydel - Østerbro;2003K4;43319
Bydel - Østerbro;2004K1;43219
Bydel - Østerbro;2004K2;43229
Bydel - Østerbro;2004K3;43063
Bydel - Østerbro;2004K4;43383
Bydel - Østerbro;2005K1;43252
Bydel - Østerbro;2005K2;43308
Bydel - Østerbro;2005K3;43052
Bydel - Østerbro;2005K4;43213
Bydel - Østerbro;2006K1;43035
Bydel - Østerbro;2006K2;43008
Bydel - Østerbro;2006K3;42808
Bydel - Østerbro;2006K4;42929
Bydel - Østerbro;2007K1;42897
Bydel - Østerbro;2007K2;43035
Bydel - Østerbro;2007K3;42768
Bydel - Østerbro;2007K4;43186
Bydel - Østerbro;2008K1;43152
Bydel - Østerbro;2008K2;43197
Bydel - Østerbro;2008K3;42885
Bydel - Østerbro;2008K4;43369
Bydel - Østerbro;2009K1;43288
Bydel - Østerbro;2009K2;43437
Bydel - Østerbro;2009K3;43233
Bydel - Østerbro;2009K4;43780
Bydel - Østerbro;2010K1;43714
Bydel - Østerbro;2010K2;43889
Bydel - Østerbro;2010K3;43663
Bydel - Østerbro;2011K1;44173
Bydel - Østerbro;2011K2;44361
Bydel - Østerbro;2011K3;44250
Bydel - Østerbro;2011K4;44766
Bydel - Østerbro;2012K1;44908
Bydel - Østerbro;2012K2;45025
Bydel - Østerbro;2012K3;44681
Bydel - Østerbro;2012K4;45287
Bydel - Østerbro;2013K1;45270
Bydel - Østerbro;2013K2;45702
Bydel - Østerbro;2013K3;45356
Bydel - Østerbro;2013K4;45985
Bydel - Østerbro;2014K1;45886
Bydel - Østerbro;2014K2;46058
Bydel - Østerbro;2014K3;45654
Bydel - Østerbro;2014K4;46143
Bydel - Østerbro;2015K1;46005
Bydel - Østerbro;2015K2;46217
Bydel - Østerbro;2015K3;46027
Bydel - Østerbro;2015K4;46708
Bydel - Østerbro;2016K1;46753
Bydel - Østerbro;2016K2;47007
Bydel - Østerbro;2016K3;46778
Bydel - Østerbro;2016K4;47500
Bydel - Østerbro;2017K1;47573
Bydel - Østerbro;2017K2;47866
Bydel - Østerbro;2017K3;47734
